Ticker,Date/Time,Open,High,Low,Close,Volume,OpenInt,OpenInt
AALI,10/27/2022 09:00:00,8550.00,8650.00,8550.00,8625.00,44200,229734992,229734992
AALI,10/27/2022 09:05:00,8625.00,8625.00,8575.00,8600.00,38800,-308369984,-308369984
AALI,10/27/2022 09:10:00,8600.00,8600.00,8575.00,8600.00,16800,-54750000,-54750000
AALI,10/27/2022 09:15:00,8600.00,8600.00,8550.00,8575.00,44400,-293115008,-293115008
AALI,10/27/2022 09:20:00,8575.00,8600.00,8575.00,8600.00,11000,58350000,58350000
AALI,10/27/2022 09:25:00,8600.00,8625.00,8575.00,8625.00,146300,1239912448,1239912448
AALI,10/27/2022 09:30:00,8625.00,8625.00,8575.00,8600.00,56700,-184700000,-184700000
AALI,10/27/2022 09:35:00,8625.00,8625.00,8600.00,8600.00,83100,-515007488,-515007488
AALI,10/27/2022 09:40:00,8600.00,8625.00,8600.00,8625.00,11100,95575000,95575000
AALI,10/27/2022 09:45:00,8625.00,8625.00,8600.00,8600.00,16300,-16160000,-16160000
AALI,10/27/2022 09:50:00,8600.00,8625.00,8600.00,8600.00,7300,-52445000,-52445000
AALI,10/27/2022 09:55:00,8600.00,8625.00,8600.00,8625.00,3200,-20630000,-20630000
AALI,10/27/2022 10:00:00,8600.00,8600.00,8575.00,8600.00,78500,-659347456,-659347456
AALI,10/27/2022 10:05:00,8600.00,8600.00,8575.00,8600.00,30600,168697504,168697504
AALI,10/27/2022 10:10:00,8600.00,8600.00,8575.00,8575.00,3900,-31725000,-31725000
AALI,10/27/2022 10:15:00,8575.00,8625.00,8575.00,8625.00,14900,40542500,40542500
AALI,10/27/2022 10:20:00,8625.00,8625.00,8600.00,8600.00,7700,-48995000,-48995000
AALI,10/27/2022 10:25:00,8600.00,8625.00,8600.00,8625.00,1900,11185000,11185000
AALI,10/27/2022 10:30:00,8600.00,8625.00,8600.00,8625.00,5600,-32657500,-32657500
ABBA,10/27/2022 09:00:00,189.00,189.00,187.00,188.00,41600,-4391700,-4391700
ABBA,10/27/2022 09:05:00,188.00,190.00,188.00,190.00,66700,9543300,9543300
ABBA,10/27/2022 09:10:00,190.00,190.00,189.00,190.00,172800,31429700,31429700
ABBA,10/27/2022 09:15:00,189.00,190.00,189.00,190.00,31000,-3130200,-3130200
ABBA,10/27/2022 09:20:00,190.00,190.00,190.00,190.00,9400,1786000,1786000
ABBA,10/27/2022 09:25:00,189.00,189.00,188.00,188.00,64000,-10307300,-10307300
ABBA,10/27/2022 09:30:00,189.00,189.00,189.00,189.00,19900,3761100,3761100
ABBA,10/27/2022 09:35:00,189.00,189.00,189.00,189.00,64200,12133800,12133800
ABBA,10/27/2022 09:40:00,189.00,190.00,189.00,189.00,61300,-11434100,-11434100
ABBA,10/27/2022 09:45:00,189.00,190.00,189.00,190.00,90600,-17085500,-17085500
ABBA,10/27/2022 09:50:00,190.00,190.00,189.00,189.00,69700,-13135400,-13135400
ABBA,10/27/2022 09:55:00,189.00,189.00,188.00,188.00,110600,-16609700,-16609700
ABBA,10/27/2022 10:00:00,189.00,189.00,189.00,189.00,37300,6444900,6444900
ABBA,10/27/2022 10:05:00,189.00,189.00,189.00,189.00,64800,-1020600,-1020600
ABBA,10/27/2022 10:10:00,189.00,189.00,189.00,189.00,3000,567000,567000
ABBA,10/27/2022 10:15:00,189.00,189.00,189.00,189.00,1300,245700,245700
ABBA,10/27/2022 10:20:00,189.00,189.00,189.00,189.00,1100,207900,207900
ABBA,10/27/2022 10:25:00,188.00,188.00,188.00,188.00,5100,-958800,-958800
ABBA,10/27/2022 10:30:00,188.00,188.00,188.00,188.00,101200,-19025600,-19025600
ABDA,10/24/2022 09:00:00,6700.00,6700.00,6700.00,6700.00,200,-1340000,-1340000
ABDA,10/24/2022 10:25:00,6700.00,6700.00,6700.00,6700.00,100,-670000,-670000
ABMM,10/27/2022 09:00:00,4230.00,4250.00,4230.00,4240.00,20400,9370000,9370000
ABMM,10/27/2022 09:05:00,4230.00,4290.00,4230.00,4280.00,172200,-89445000,-89445000
ABMM,10/27/2022 09:10:00,4280.00,4300.00,4270.00,4300.00,140000,369539008,369539008
ABMM,10/27/2022 09:15:00,4300.00,4320.00,4300.00,4310.00,153500,87779008,87779008
ABMM,10/27/2022 09:20:00,4310.00,4320.00,4310.00,4320.00,61000,11483000,11483000
ABMM,10/27/2022 09:25:00,4310.00,4320.00,4300.00,4300.00,45800,-128382000,-128382000
ABMM,10/27/2022 09:30:00,4310.00,4310.00,4280.00,4280.00,85500,-253716992,-253716992
ABMM,10/27/2022 09:35:00,4290.00,4300.00,4290.00,4300.00,38200,65387000,65387000
ABMM,10/27/2022 09:40:00,4310.00,4330.00,4260.00,4330.00,389000,-471054016,-471054016
ABMM,10/27/2022 09:45:00,4320.00,4330.00,4320.00,4320.00,41700,54262000,54262000
ABMM,10/27/2022 09:50:00,4330.00,4400.00,4330.00,4400.00,710400,1921474944,1921474944
ABMM,10/27/2022 09:55:00,4410.00,4420.00,4400.00,4420.00,156900,289216992,289216992
ABMM,10/27/2022 10:00:00,4420.00,4440.00,4410.00,4420.00,154200,198603008,198603008
ABMM,10/27/2022 10:05:00,4410.00,4420.00,4370.00,4370.00,239600,-903356992,-903356992
