Ticker,Date/Time,Open,High,Low,Close,Volume,OpenInt,OpenInt
AALI,11/1/2022,8525.00,8600.00,8450.00,8500.00,1157000,-2651232512,-2651232512
AALI,11/2/2022,8550.00,8750.00,8475.00,8750.00,5027600,11530692608,11530692608
AALI,11/3/2022,8775.00,8850.00,8675.00,8700.00,3201700,-6242999808,-6242999808
AALI,11/4/2022,8725.00,8725.00,8550.00,8625.00,2154300,-2475142400,-2475142400
ABBA,11/1/2022,188.00,192.00,184.00,184.00,15684700,-174449200,-174449200
ABBA,11/2/2022,185.00,191.00,182.00,189.00,21351600,314646496,314646496
ABBA,11/3/2022,190.00,191.00,184.00,184.00,14326600,-1034807616,-1034807616
ABBA,11/4/2022,186.00,186.00,181.00,183.00,11412300,282528096,282528096
ABDA,11/1/2022,6700.00,6700.00,6700.00,6700.00,200,-1340000,-1340000
ABDA,11/2/2022,6700.00,6700.00,6700.00,6700.00,0,0,0
ABDA,11/3/2022,6600.00,6600.00,6600.00,6600.00,100,-660000,-660000
ABDA,11/4/2022,6600.00,6600.00,6600.00,6600.00,0,0,0
ABMM,11/1/2022,3950.00,3950.00,3690.00,3780.00,10702500,-7342817792,-7342817792
ABMM,11/2/2022,3780.00,3830.00,3750.00,3760.00,3013200,-4779180032,-4779180032
ABMM,11/3/2022,3750.00,3780.00,3700.00,3780.00,1412900,-907481024,-907481024
ABMM,11/4/2022,3780.00,3780.00,3570.00,3620.00,7397700,-15146546176,-15146546176
ACES,11/1/2022,560.00,575.00,555.00,565.00,48970800,-5037406720,-5037406720
ACES,11/2/2022,570.00,595.00,565.00,590.00,87523904,14182772736,14182772736
ACES,11/3/2022,590.00,610.00,575.00,580.00,103519600,-1999009024,-1999009024
ACES,11/4/2022,580.00,595.00,565.00,590.00,85946304,5577309696,5577309696
ACST,11/1/2022,178.00,179.00,175.00,176.00,3143800,-262060608,-262060608
ACST,11/2/2022,177.00,181.00,176.00,179.00,3985800,-71220304,-71220304
ACST,11/3/2022,181.00,183.00,179.00,179.00,3896200,-293480800,-293480800
ACST,11/4/2022,179.00,180.00,177.00,177.00,3566000,-263443296,-263443296
ADCP,11/1/2022,75.00,75.00,73.00,73.00,12752600,-397934784,-397934784
ADCP,11/2/2022,73.00,75.00,73.00,74.00,5667000,107838096,107838096
